Date;counter;BTC;BTC1;ETH;ETH1;BNB;BNB1;XRP;XRP1;SOL;SOL1;LUNA;LUNA1;DOT;DOT1;SPY;SPY1;IPO;IPO1;GLD;GLD1;DBTC;DETH;DBNB;DXRP;DSOL;DLUNA;DDOT;DSPY;DIPO;DGLD
2018-01-08;1;15170.1;1;1148.53;1;18.26;1;2.46;1;0;0;0;0;0;0;273.92;1;28.42;1;125.31;1;0;0;0;0;0;0;0;0;0;0
2018-01-09;2;14595.4;0.962116268;1299.74;1.131655246;17.41;0.953450164;2.1;0.853658537;0;0;0;0;0;0;274.54;1.002263435;28.48;1.002111189;124.73;0.995371479;-0.037883681;0.131655209;-0.046498256;-0.144299551;0;0;0;0.00226342;0.002111189;-0.004628481
2018-01-10;3;14973.3;0.987027113;1255.82;1.093415061;17.39;0.952354874;1.97;0.800813008;0;0;0;0;0;0;274.12;1.00073014;28.44;1.00070373;125.03;0.997765541;0.025891678;-0.033791408;-0.001206079;-0.060358363;0;0;0;-0.001529883;-0.001404459;0.002405163
2018-01-11;4;13405.8;0.883698855;1154.93;1.00557234;21.04;1.152245345;1.95;0.792682927;0;0;0;0;0;0;276.12;1.008031542;28.7;1.009852217;125.44;1.001037427;-0.104686343;-0.080337864;0.20999034;-0.012213153;0;0;0;0.007296075;0.009142053;0.003279237
2018-01-12;5;13980.6;0.921589179;1273.2;1.108547448;22.32;1.222343921;2.04;0.829268293;0;0;0;0;0;0;277.92;1.014602804;28.66;1.008444757;126.96;1.013167345;0.04287695;0.102404381;0.060524505;0.047380562;0;0;0;0.00651897;-0.001393763;0.012117323
2018-01-16;6;11490.5;0.757443919;1053.69;0.917424882;13.89;0.76067908;1.18;0.479674797;0;0;0;0;0;0;276.97;1.011134638;28.32;0.996481351;127.17;1.014843189;-0.178111074;-0.17240812;-0.377499826;-0.422854989;0;0;0;-0.003418293;-0.011863224;0.001654056
2018-01-17;7;11188.6;0.73754293;1014.25;0.883085335;14.2;0.777656079;1.31;0.532520325;0;0;0;0;0;0;279.61;1.020772488;28.57;1.005277973;126.14;1.006623574;-0.026273912;-0.03743031;0.022408742;0.107781283;0;0;0;0.00953166;0.008827684;-0.008099387
2018-01-18;8;11474.9;0.756415581;1036.28;0.902266375;14.28;0.78203724;1.6;0.650406504;0;0;0;0;0;0;279.14;1.019056659;28.65;1.008092892;125.86;1.004389115;0.025588616;0.021720512;0.005435395;0.222177993;0;0;0;-0.001680805;0.00280014;-0.00221974
2018-01-19;9;11607.4;0.765149867;1039.1;0.904721688;14.94;0.818181818;1.55;0.630081301;0;0;0;0;0;0;280.41;1.023693049;28.75;1.011611541;126.42;1.008858032;0.011546941;0.002721221;0.046231198;-0.027890867;0;0;0;0.004549649;0.003490401;0.004449364
2018-01-22;10;10931.4;0.720588526;1003.26;0.873516582;13.01;0.712486309;1.36;0.552845528;0;0;0;0;0;0;282.69;1.032016647;28.86;1.015482055;126.65;1.01069348;-0.058238708;-0.034491355;-0.128910486;-0.125446989;0;0;0;0.008130944;0.003826122;0.001819364
